customer_id,acquisition_date,acquisition_channel,platform,campaign_name,ad_set_name,ad_name,age_band,gender,hk_district,language_pref,plan_type,plan_category,monthly_arpu_hkd,contract_months,cross_sell_broadband,cross_sell_entertainment,cross_sell_device_financing,monthly_total_revenue_hkd,status,months_active,churn_date,realized_revenue_hkd,projected_ltv_24mo_hkd
CUST100001,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Wan Chai,Cantonese,5G_Single_Premium,subscription,488,24,N,Y,N,566,active,5,,2830,17659.0
CUST100002,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Wan Chai,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100003,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,45-54,female,Sham Shui Po,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100004,2025-11-04,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,female,Tsuen Wan,Cantonese,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100005,2025-11-06,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Tsuen Wan,English,5G_Family_4Line,subscription,588,24,Y,N,N,786,active,5,,3930,24523.0
CUST100006,2025-11-02,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Video_v1_Canto,35-44,male,Eastern,English,5G_Family_4Line,subscription,588,24,N,N,N,588,active,5,,2940,18346.0
CUST100007,2025-11-14,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,male,Eastern,Cantonese,5G_Family_4Line,subscription,588,24,Y,Y,N,864,active,5,,4320,26957.0
CUST100008,2025-11-11,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,female,Tuen Mun,Cantonese,5G_Family_2Line,subscription,388,24,N,N,N,388,active,5,,1940,12106.0
CUST100009,2025-11-01,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,35-44,male,Tai Po,Cantonese,5G_Family_4Line,subscription,588,24,N,N,Y,838,active,5,,4190,26146.0
CUST100010,2025-11-03,paid_social,meta,HK_5G_FamilyPlan_Q4_2025,FamilyPlan_Parents_30-45_HK,5G_Family_Static_HappyFamily,45-54,female,Wong Tai Sin,Cantonese,5G_Single_Premium,subscription,488,24,N,N,N,488,active,5,,2440,15226.0
